spring number,spring location,spring name,long,lat,type,well_depth,flow_rate_mean,flow_rate_min,flow_rate_max,temp_mean,temp_min,temp_max,reference,reference_DOI,reference_link,EC,pH,sample_temperature,TDS,TDS_min,TDS_max,Na,Ca,Mg,K,NH4,Cl,F,SO4,HCO3,CO3,NO3,Si,Li,SiO2,reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O,delta_2H,3H,delta_14C,delta_13C,4He,3He,reference_isotope_data,DOI_isotope_data,reference_link_isotope_data
232,Innichen,Magnesiaca,12.2879,46.7344,unknown,,,,,7,,,"Carlé, W. (1975): Die Mineral- und Thermalwässer von Mitteleuropa. Geologie, Chemismus, Genese. Wissenschaftliche Verlagsgesellschaft MBH, Stuttgart, 1975.",https://doi.org/10.1002/jobm.19770170413,,,,,,,,30,344,68,n/a,n/a,n/a,n/a,865,369,n/a,n/a,n/a,n/a,,"Carlé, W. (1975): Die Mineral- und Thermalwässer von Mitteleuropa. Geologie, Chemismus, Genese. Wissenschaftliche Verlagsgesellschaft MBH, Stuttgart, 1975.",https://doi.org/10.1002/jobm.19770170413,,,,,,,,,,,
233,Bagno di Romagna,Chiesa S. Maria,11.961633,43.818333,well,,,,,26,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Bagno di Romagna,Garzia,11.961633,43.818333,well,,,,,40,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Bagno di Romagna,Terme Sant'Agnese,11.960556,43.818333,spring,,0.0085,,,43,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Corniglio,Milano,10.095522,44.488611,well,1047,,,,39.8,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Latisana,N. 4,13.039411,45.728889,well,396,0.0005,,,29.2,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Latisana,N. 5,13.034133,45.728333,well,,0.001,,,35,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Latisana,N. 6,13.0558,45.708889,well,417,0.0023,,,39,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Latisana,N. 7,13.055522,45.700278,well,410,0.004,,,40.6,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Latisana,N. 8,13.074411,45.696944,well,412,,,,"35,4",,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Miradolo Terme,Fonte Vittoria,9.4201087,45.188611,spring,,,,,20.8,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Lomaso,Terme di Comano,10.886389,46.042222,spring,,0.00083,,,27,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Mele,Acqua Santa,8.7708,44.457222,well,,,,,22,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Visone,Caldana,8.6546889,44.661944,spring,,,,,22.5,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Visone,Fornace,8.4802444,44.662222,well,239,0.0001,,,32.7,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Albettone,La Boia,11.607467,45.368333,spring,,,,,24,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Arqua' Petrarca ,Casa Trieste,11.742467,45.276667,spring,,,,,28.3,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Arqua' Petrarca ,Lago di Arqua,11.744411,45.268889,spring,,,,,43.1,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Baone,Val Calaona,11.645244,45.264444,spring,,,,,36,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Barbarano Vicentino,Bagno Barbarano,11.556356,45.4,spring,,,,,28.5,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Barbarano Vicentino,Bettini,11.556356,45.447222,well,54,,,,26.5,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Barbarano Vicentino,Bogoni,11.565244,45.397222,spring,,,,,,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Barbarano Vicentino,Franceschetto,11.569967,45.402222,spring,,,,,25.2,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Barbarano Vicentino,Monticello est,11.596633,45.396944,spring,,,,,24.6,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Barbarano Vicentino,Ponte Barbarano,11.563578,45.392222,well,194,,,,28.5,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Caldiero,Terme di Giunone,11.194967,45.408889,spring,,,,,26.9,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Caldiero,Terme di Giunone (Pozzo),11.194967,45.408889,well,100,0.005,,,26.4,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Galzignano Terme,Cirana 2,11.766356,45.288333,well,352,,,,67,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Galzignano Terme,San Bartolomeo,11.758889,45.307222,spring,,,,,49,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Monselice,La Cava,11.748889,45.256944,spring,,,,,32.2,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Mossano,Monticello 1,11.594967,45.402778,well,412,,,,34.5,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Mossano,Ponte Mossano,11.586389,45.408889,spring,,,,,25.8,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,San Martino Buon Albergo,Lendinara,11.130244,45.395,well,60,0.003,,,28.6,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,San Michele al Tagliamento,N. 1,13.029133,45.673333,well,421,0.0012,,,48.8,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,San Michele al Tagliamento,N. 2,13.008022,45.676667,well,422,0.0018,,,43.2,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,San Michele al Tagliamento,N. 3,13.0533,45.670833,well,413,0.0011,,,27.4,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Villaga,Bagno di Villaga,11.556944,45.396667,spring,,,,,28.8,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Latronico,Principlale,16.011633,40.089444,spring,,0.034716667,,,23,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Comune di Courmayeur,Courmayeur,6.968782,45.79491,unknown,,,,,24,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,St. Jean,,7.827468,45.773644,spring,,,,,42,,,"A. Minissale (1991): Thermal springs in Italy: their relation to recent tectonics. Applied Geochemistry Vol.  6, pp. 201-212, 1991. ",https://doi.org/10.1016/0883-2927(91)90030-S,,,6.7,,240,,,83,8,1.8,1.6,n/a,122,n/a,11,5,n/a,n/a,n/a,n/a,7,"Coggiola et al. (1987): Acque salate ed acque termali nelle Alpi occidentali e nel bacino Pedano. Proc. 5th Semin. on Geothermal Energy, P.F.E.-SI 5 C.N.R., Rome, Italy, pp. 573-596.",,,-12.75,-93.3,,,,,,"Coggiola et al. (1987): Acque salate ed acque termali nelle Alpi occidentali e nel bacino Pedano. Proc. 5th Semin. on Geothermal Energy, P.F.E.-SI 5 C.N.R., Rome, Italy, pp. 573-596.",,
272,Villaverla,,11.488989,45.651674,spring,,,,,67,,,"A. Minissale (1991): Thermal springs in Italy: their relation to recent tectonics. Applied Geochemistry Vol.  6, pp. 201-212, 1991. ",https://doi.org/10.1016/0883-2927(91)90030-S,,,7.5,,654,,,133,36,10,49,n/a,62,n/a,70,254,n/a,n/a,n/a,n/a,42,"Nanni and Zuppi (1986): Acque salate e circolazione profonda in relazione all' assetto strutturale del fronte adriatico e padano dell' Appennino. Mere. Soc. Geol. Ital. 35,979-986.",,,-10.2,-65.4,,,,,,"Nanni and Zuppi (1986): Acque salate e circolazione profonda in relazione all' assetto strutturale del fronte adriatico e padano dell' Appennino. Mere. Soc. Geol. Ital. 35,979-986.",,
273,Berici,La Boja,11.513417,45.431889,well,,,,,25,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,,7.4,,941,,,115,103,48,16,n/a,176,n/a,263,195,n/a,n/a,n/a,n/a,25,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,-10.6,-75.2,,,,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,
274,Berici,S. Franceschetto,11.513417,45.431889,well,,,,,25,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,,7.1,,685,,,83,37,50,17,n/a,103,n/a,148,222,n/a,n/a,n/a,n/a,25,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,-9.8,-68.5,,,,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,
275,Berici,Berici #A,11.513417,45.431889,well,,,,,29,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,,7.1,,962,,,116,97,47,16,n/a,180,n/a,299,179,n/a,n/a,n/a,n/a,28,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,-11.5,-83.1,,,,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,
276,Berici,Berici #B,11.513417,45.431889,well,,,,,28,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,,7.1,,766,,,76,132,47,15,n/a,107,n/a,153,222,n/a,n/a,n/a,n/a,26,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,-10.2,-72,,,,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,
277,Grimsel,,8.34499,46.5619,tunnel,,0.000038,,,28,,,Sonney & Vuataz (2008) Geothermics,https://doi.org/10.1016/j.geothermics.2008.07.001,http://crege.ch/index.php?menu=down&page=rd_BDFGeothem,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"Diamond, L.W., Wanner, C. and Waber, H.N. (2018): Penetration depth of meteoric water in orogenic geothermal systems, Geology, doi: https://doi.org/10.1130/G45394.1",https://doi.org/10.1130/G45394.1,
278,Hauenstein,,7.88018,47.382,tunnel,,0.0023,,,26.7,,,Sonney & Vuataz (2008) Geothermics,https://doi.org/10.1016/j.geothermics.2008.07.001,http://crege.ch/index.php?menu=down&page=rd_BDFGeothem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Loetschberg,,7.7573,46.3642,tunnel,,0.00021,,,25.8,,,Sonney & Vuataz (2008) Geothermics,https://doi.org/10.1016/j.geothermics.2008.07.001,http://crege.ch/index.php?menu=down&page=rd_BDFGeothem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Mont-Blanc,,6.8613,45.9016,tunnel,,0.0048,,,34,,,Sonney & Vuataz (2008) Geothermics,https://doi.org/10.1016/j.geothermics.2008.07.001,http://crege.ch/index.php?menu=down&page=rd_BDFGeothem,,5.6,27,1290,,,14.9,21.5,0.7,2.2,,1.9,,50.3,28.7,,,,,7.6,"Sonney, R., Vuataz, F.-D. (2008) Properties of geothermal fluids in Switzerland: A new interactive database",https://doi.org/10.1016/j.geothermics.2008.07.001,https://ac.els-cdn.com/S0375650508000412/1-s2.0-S0375650508000412-main.pdf?_tid=2014ab38-b872-419b-9458-22b849109e5c&acdnat=1524210835_8aa28f2404dfad6c0d7de382c10c33f2,,,,,,,,,,
281,Reuss River Valley (a few km southwest of Baden),5,8.386108398,47.42889404,unknown,,,,,,,,Waring (1965) USGS report,https://doi.org/10.3133/pp492,https://pubs.usgs.gov/pp/0492/report.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
